# Transcribed from the user list received 2026-09-05, headed August 2026.
# id|5ml,6ml,10ml,15ml,30ml prices; ! means unavailable; OUT means whole product out.
# Two designer rows explicitly use 3ml,5ml,6ml,10ml instead.
mykonos-inception-edp|320,399,590,840!,1599!
mykonos-dreamscape-edp|320,399,590,840!,1599!
hawas-for-him-edp|240,290,420,580,1099!
hawas-ice-edp|260,320,480,660,1270!
hawas-black-edp|250,299,450,620,1250!
hawas-chrome|290,350,540,750!,1430!
hawas-la-mer-edp|290,360,540,750,1450!
hawas-rouge-edp|290,350,540,750,1430!|OUT
hawas-majestic-edp|300,370,560,790,1510!
hawas-kobra-edp|250,300,440,600,1130!
hawas-elixir-edp|270,320,470,650,1299|OUT
hawas-fire-edp|290,350,540,750!,1450!
shuhrah-bois-e-edp|260,320,470!,650!,1240!
shuhrah-elixir-edp|250,310,460!,630!,1199!|OUT
rasasi-fattan-edp|290,340,500!,690!,1320!
yusuf-bhai-wulong-cha|390,470,740,1050!,2030!
yusuf-bhai-bois-imperial|309,380,560,780!,1499!
yusuf-bhai-men-212|260,320,470,640!,1899!
yusuf-bhai-allure-homme-sport|260,320,470,640!,1899!
riiffs-fareed-edp|240,299,430,580,1099!
riiffs-freeze-edp|299,370,560,790,1510!
reef-33-edp|309,380,560,790!,1510!
thriller-iii-maison-x-cal-cologne|319,390,600,840!,1620!
vanguard-by-maison-asrar|330,410,620,880,1699|OUT
afnan-supremacy-collector-s-edition-edp|450,550,860,1240!,2410!
supremacy-not-only-intense-edp|350,420,640,900!,1750!
afnan-turathi-blue-edp|320,390,600!,840!,1610!
afnan-9-pm-night-out-edp|430,510,799,1170,2299!
afnan-9-pm-edp|290,350,540,750,1430!
afnan-9-pm-rebel-edp|340,410,640,900!,1730!
afnan-modest-une-edp|270,330,499,690!,1350!
dolce-gabbana-the-one-edp|440,530,830,1180!,2299!
stronger-with-you-intensely-edp|670,799,1280,1850!,3650!
azzaro-the-most-wanted-edp-intense|310,470,570,900!|3ml,5ml,6ml,10ml
ysl-y-edp|430,670,799,1299|3ml,5ml,6ml,10ml
nautica-voyage-edt|210,260,360,480,899!
212-men-by-carolina-herrera|440,530,840,1200,2330!
versace-eros-edt|399,490,760,1070,2099!
kenzo-homme-edt-intense|420,510,810!,1150!,2240!
davidoff-cool-water-edt|220,270,399,540,1020!
burberry-touch-edt|299,360,540,750,1450!
al-haramain-amber-oud-gold-edition|330,399,599,830,1599!
al-haramain-amber-oud-aqua-dubai|330,399,599,830,1599!
kaaf-by-ahmed-edp|280,340,510,710,1360!
blue-by-ahmed-edp|220,270,399,540,1020!|OUT
zeleny-by-ahmed-edp|220,270,400,540,1020!
miami-blue-by-ard|209,250,350,470!,900!
brandy-salvage-edp|180,230,320,430!,799!
brandy-after-swim-edp|180,230,320,430,799!
brandy-inspiration-edp|180,230,320,430,799!
brandy-ambre-leather-edp|200,250,360,490,910|OUT
marwa-arabian-prestige-edp|290,340,520,720!,1380!
